name,know_by_name,know_by_bio,know_by_name_description,know_by_bio_link,know_by_bio_summary,know_by_bio_summary_anonymized,know_by_bio_reasoning
David Ricardo,yes,,"David Ricardo was a British political economist in the early 19th century, known for his theory of comparative advantage and contributions to classical economics.",,,,
Sir William Molesworth,yes,,Sir William Molesworth was a 19th-century British politician and reformer known for his advocacy of free trade and his role in the colonization of New Zealand.,,,,
George Grote,yes,,"George Grote was a 19th-century English historian known for his works on ancient Greece, particularly his multi-volume 'History of Greece.'",,,,
Edwin von Manteuffel,yes,,"Edwin von Manteuffel was a Prussian field marshal and military leader in the 19th century, known for his role in the Austro-Prussian and Franco-Prussian Wars.",,,,
Otto von Manteuffel,yes,,"Otto von Manteuffel was a Prussian statesman in the 19th century, known for serving as the Minister President of Prussia from 1850 to 1858.",,,,
Eduard Vogel von Falckenstein,no,,,,,,
Friedrich Graf von Wrangel,yes,,"Friedrich Graf von Wrangel was a Prussian field marshal known for his military leadership during the 19th century, particularly in the German revolutions of 1848 and the Austro-Prussian War.",,,,
Ferdinand von Wrangel,yes,,Ferdinand von Wrangel was a 19th-century Russian explorer and naval officer known for his Arctic expeditions and exploration of the Siberian coast.,,,,
Vasily Golovnin,yes,,"Vasily Golovnin was a Russian navigator and explorer in the early 19th century, known for his voyages in the Pacific and his imprisonment in Japan.",,,,
Karl Friedrich von Steinmetz,yes,,"Karl Friedrich von Steinmetz was a Prussian general who served during the 19th century, notably in the Austro-Prussian and Franco-Prussian Wars.",,,,
Adolf von Bonin,no,,,,,,
Wilhelm von Ramming,no,,,,,,
Heinrich von Heß,no,,,,,,
Karl Philipp Prince of Schwarzenberg,yes,,"Karl Philipp, Prince of Schwarzenberg, was an Austrian field marshal who played a significant role in the Napoleonic Wars, particularly known for leading the Austrian army at the Battle of Leipzig in 1813.",,,,
Jean Victor Marie Moreau,yes,,"Jean Victor Marie Moreau was a French general during the French Revolutionary Wars and the Napoleonic Wars, known for his opposition to Napoleon Bonaparte.",,,,
Albert Gallatin,yes,,Albert Gallatin was a Swiss-American politician and diplomat who served as the U.S. Secretary of the Treasury from 1801 to 1814 under Presidents Thomas Jefferson and James Madison.,,,,
Aaron Burr,yes,,Aaron Burr was an American politician and lawyer who served as the third Vice President of the United States from 1801 to 1805.,,,,
Jonathan Edwards,yes,,"Jonathan Edwards was an 18th-century American preacher, theologian, and philosopher known for his role in the Great Awakening and his sermon 'Sinners in the Hands of an Angry God.'",,,,
