name,know_by_name,know_by_bio,know_by_name_description,know_by_bio_link,know_by_bio_summary,know_by_bio_summary_anonymized,know_by_bio_reasoning
鲍信,,,,https://zh.wikipedia.org/wiki/%E9%AE%91%E4%BF%A1,,,
郑泰,,,,https://zh.wikipedia.org/wiki/%E9%84%AD%E6%B3%B0_(%E6%9D%B1%E6%BC%A2),,,
郑泰,,,,https://zh.wikipedia.org/wiki/%E9%84%AD%E6%B3%B0_(%E6%98%8E%E6%9C%9D),,,
丁原,,,,https://zh.wikipedia.org/wiki/%E4%B8%81%E5%8E%9F,,,
李肃,,,,https://zh.wikipedia.org/wiki/%E6%9D%8E%E8%82%83_(%E4%B8%9C%E6%B1%89),,,
陈宫,,,,https://zh.wikipedia.org/wiki/%E9%99%88%E5%AE%AB,,,
法正,,,,https://zh.wikipedia.org/wiki/%E6%B3%95%E6%AD%A3,,,
孟达,,,,https://zh.wikipedia.org/wiki/%E5%AD%9F%E9%81%94,,,
夏侯霸,,,,https://zh.wikipedia.org/wiki/%E5%A4%8F%E4%BE%AF%E9%9C%B8,,,
侯君集,,,,https://zh.wikipedia.org/wiki/%E4%BE%AF%E5%90%9B%E9%9B%86,,,
李大亮,,,,https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%A4%A7%E4%BA%AE,,,
张行成,,,,https://zh.wikipedia.org/wiki/%E5%BC%B5%E8%A1%8C%E6%88%90_(%E5%94%90%E6%9C%9D),,,
商輅,,,,https://zh.wikipedia.org/wiki/%E5%95%86%E8%BC%85,,,
刘琨,,,,https://zh.wikipedia.org/wiki/%E5%88%98%E7%90%A8,,,
段末波,,,,https://zh.wikipedia.org/wiki/%E6%AE%B5%E6%9C%AB%E6%B3%A2,,,
司马荂,,,,https://zh.wikipedia.org/wiki/%E5%8F%B8%E9%A6%AC%E8%8D%82,,,
Leo von Caprivi,,,,https://en.wikipedia.org/wiki/Leo_von_Caprivi,,,
Botho zu Eulenburg,,,,https://en.wikipedia.org/wiki/Botho_zu_Eulenburg,,,
Chlodwig Prince of Hohenlohe-Schillingsfürst,,,,"https://en.wikipedia.org/wiki/Chlodwig,_Prince_of_Hohenlohe-Schillingsf%C3%BCrst",,,
James Mill,,,,https://en.wikipedia.org/wiki/James_Mill,,,
David Ricardo,,,,https://en.wikipedia.org/wiki/David_Ricardo,,,
Sir William Molesworth,,,,"https://en.wikipedia.org/wiki/Sir_William_Molesworth,_8th_Baronet",,,
George Grote,,,,https://en.wikipedia.org/wiki/George_Grote,,,
Edwin von Manteuffel,,,,https://en.wikipedia.org/wiki/Edwin_Freiherr_von_Manteuffel,,,
Otto von Manteuffel,,,,https://en.wikipedia.org/wiki/Otto_Theodor_von_Manteuffel,,,
Eduard Vogel von Falckenstein,,,,https://en.wikipedia.org/wiki/Eduard_Vogel_von_Falckenstein,,,
Friedrich Graf von Wrangel,,,,https://en.wikipedia.org/wiki/Friedrich_Graf_von_Wrangel,,,
Ferdinand von Wrangel,,,,https://en.wikipedia.org/wiki/Ferdinand_von_Wrangel,,,
Vasily Golovnin,,,,https://en.wikipedia.org/wiki/Vasily_Golovnin,,,
Karl Friedrich von Steinmetz,,,,https://en.wikipedia.org/wiki/Karl_Friedrich_von_Steinmetz,,,
Adolf von Bonin,,,,https://en.wikipedia.org/wiki/Adolf_von_Bonin,,,
Wilhelm von Ramming,,,,https://en.wikipedia.org/wiki/Wilhelm_von_Ramming,,,
Heinrich von Heß,,,,https://en.wikipedia.org/wiki/Heinrich_von_He%C3%9F,,,
Karl Philipp Prince of Schwarzenberg,,,,"https://en.wikipedia.org/wiki/Karl_Philipp,_Prince_of_Schwarzenberg",,,
Jean Victor Marie Moreau,,,,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,,,
Albert Gallatin,,,,https://en.wikipedia.org/wiki/Albert_Gallatin,,,
Aaron Burr,,,,https://en.wikipedia.org/wiki/Aaron_Burr,,,
Jonathan Edwards,,,,https://en.wikipedia.org/wiki/Jonathan_Edwards_(theologian),,,
